Index,id,type,_3,name,_5,gender,country,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,disambiguation,_25,_26,_27,_28,_29,_30
1,8d463dee-ffae-4028-a3af-ec8ccb595906,Person,94,Bill Nelson,"Nelson, Bill",male,GB,"['00087639525', '00088774415']",['0000000055434667'],"[{'sort-name': 'Cabasa El Dubova', 'type': 'Search hint', 'alias': 'Cabasa El Dubova'}, {'sort-name': ""Bill Nelson's Red Noise"", 'alias': ""Bill Nelson's Red Noise""}]","[{'count': '2', 'name': 'art pop'}, {'count': '1', 'name': 'new romantic'}, {'count': '1', 'name': 'electronic'}, {'count': '1', 'name': 'synthpop'}, {'count': '1', 'name': 'minimal synth'}, {'count': '1', 'name': 'experimental rock'}, {'count': '2', 'name': 'new wave'}, {'count': '1', 'name': 'ambient'}, {'count': '1', 'name': 'synth pop'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,34750908-b632-4cc2-964f-d630971e5b0e,Subdivision,Wakefield,Wakefield,False,1948-12-18,False,English experimental musician,,,,,,
5,95e98dab-3260-4fd5-8b3e-075faab221de,Person,84,E. S. Nelson,"Nelson, E. S.",,,,['0000000033687356'],,,,,,,,23d10872-f5ae-3f0c-bf55-332788a16ecb,Country,Sweden,Sweden,False,,False,IWW,,,,,,
7,3b281ee2-43a1-48c5-b8dc-f6126917debb,Group,84,Nelson,Nelson,,US,,,"[{'sort-name': 'Nelsons, The', 'type': 'Artist name', 'alias': 'The Nelsons'}]","[{'count': '0', 'name': 'rock'}, {'count': '1', 'name': 'hard rock'}, {'count': '1', 'name': 'glam metal'}, {'count': '0', 'name': 'alternative rock'}, {'count': '1', 'name': '2008 universal fire victim'}, {'count': '2', 'name': 'aor'}]",489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,dbacf2e3-7e3e-4cee-8804-999b109285fa,City,Santa Monica,Santa Monica,False,1989,False,"glam metal band, Nelson Twins",,,,,,
12,4c7cea51-862b-433a-82d8-7361ed266d9e,Person,83,Sandy Nelson,"Nelson, Sandy",male,US,['00022184124'],['000000008371472X'],"[{'sort-name': 'Nelson, Lloyd Sander', 'type': 'Legal name', 'alias': 'Lloyd Sander Nelson'}, {'sort-name': 'Nelson, Sander', 'type': 'Artist name', 'alias': 'Sander Nelson'}]",,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,dbacf2e3-7e3e-4cee-8804-999b109285fa,City,Santa Monica,Santa Monica,False,1938-12-01,True,,cd22d0ba-c79b-45b3-a8e0-617b240df5f0,City,Las Vegas,Las Vegas,False,2022-02-14
29,d176915b-71d9-49ca-ba47-da52d46d0e4a,Group,77,Hawk Nelson,Hawk Nelson,,CA,,,,,71bbafaa-e825-3e15-8ca9-017dcad1748b,Country,Canada,Canada,False,676e3736-c376-4705-af73-5dd9ce48acda,City,Peterborough,Peterborough,False,2003,False,,,,,,,
37,f00f9497-6bad-40fb-b28b-e574f6bb27e6,Person,76,John Nelson,"Nelson, John",male,US,,['0000000114959958'],,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,411f07cd-cfb2-44a3-8f7a-9d4da31a0450,City,San José,San José,False,1941-12-09,False,American conductor,,,,,,
38,f0874fae-9251-4dc8-9a48-2b71f6502a10,Person,76,Shara Nelson,"Nelson, Shara",female,GB,['00145623873'],['0000000079823026'],,"[{'count': '1', 'name': 'house'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,f03d09b3-39dc-4083-afd6-159e3f0d462f,City,London,London,False,1965,False,,,,,,,
47,804872ad-e81a-47a1-876b-6beca5d5e293,Person,75,Nelson,Nelson,female,FR,,,"[{'sort-name': 'Nelson, Patricia', 'type': 'Legal name', 'alias': 'Patricia Nelson'}]",,08310658-51eb-3801-80de-5a0739207115,Country,France,France,False,,,,,,,False,French pop singer,,,,,,
48,fea21ec2-f012-4c20-8f76-e5364f1b0ecd,Group,75,Nelson,Nelson,,FR,,,,,08310658-51eb-3801-80de-5a0739207115,Country,France,France,False,dc10c22b-e510-4006-8b7f-fecb4f36436e,City,Paris,Paris,False,2002,False,French rock band,,,,,,
52,3c255d4b-b5b3-42d8-98b3-1bfd01fa67d4,Person,75,Nelson,Nelson,male,DE,,,,,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,False,06b4d062-aa78-4483-aa77-02eb9ff7c33a,City,Breman Asikuma,Breman Asikuma,False,1979-02-13,False,Ghanaian–German singer Nelson Nutakor–Müller,,,,,,
54,6975086c-4cc4-4d90-8a99-6c111b32e05c,Person,75,Nelson,Nelson,male,,,,,,150d0e1b-2416-4f23-ba79-e9c677324ad6,Subdivision,Tamil Nadu,Tamil Nadu,False,,,,,,,False,Artist from Tamil Nadu Nelson,,,,,,
55,a85a3c04-6a38-49b7-94e6-1678b94ad128,Person,75,Nelsøn,Nelsøn,male,BE,,,"[{'sort-name': 'Nelson', 'type': 'Search hint', 'alias': 'Nelson'}, {'sort-name': 'Vandecapelle, Nelson', 'type': 'Legal name', 'alias': 'Nelson Vandecapelle'}, {'sort-name': 'Nelsøn', 'type': 'Artist name', 'alias': 'Nelsøn'}]",,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Country,Belgium,Belgium,False,45125c6a-db29-4300-bd26-9ff9ed24a3e7,City,Ghent,Ghent,False,,False,Belgian DJ/producer Nelson Vandecapelle,,,,,,
57,ad1ac60d-b98e-4eeb-afeb-b50de5591c79,Person,75,Nelson,Nelson,male,GB,['00160501709'],,"[{'sort-name': 'Nice, Peter', 'type': 'Artist name', 'alias': 'Peter Nice'}, {'sort-name': 'Nice, Peter Leslie', 'type': 'Legal name', 'alias': 'Peter Leslie Nice'}]","[{'count': '1', 'name': 'rock'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,False,aka Peter Nice of New Model Army,,,,,,
58,110baf4c-13f4-4ff3-b89d-6a8708fac065,Person,74,JB Nelson,"Nelson, JB",male,,,,,,df27935e-aa31-4230-97cf-e39b7578b9fe,Subdivision,South Ayrshire,South Ayrshire,False,,,,,,,False,Dark Folk/Death Country artist from Scotland,,,,,,
66,41e99595-558a-48e7-8c41-e4207853879e,,74,Nelson,Nelson,,,,,,,,,,,,,,,,,,False,usa rapper,,,,,,
70,9f5fcd78-041c-449c-b022-54fe20ef6749,,74,Nelson,Nelson,,,,,,,,,,,,,,,,,,False,from a CD of indian lounge,,,,,,
75,595fd8aa-b69e-46b8-8e55-4369bae2bbba,,73,Nelson,Nelson,,,,,,,,,,,,,,,,,,False,Portugese,,,,,,
77,f4cc62d8-7189-4be7-acb8-176237f142cd,,73,Nelson,Nelson,,,,,,,,,,,,,,,,,,False,Russian,,,,,,
78,882bc3d8-48da-42ee-93b4-169c7fc30c9e,,73,Nelson,Nelson,,,,,,,,,,,,,,,,,,False,Track Six,,,,,,
81,c81305d3-e0e0-474f-bb9a-edba5a928559,,73,Nelson,Nelson,,,,,,,6396a932-f002-42a5-8b90-62212f7c885e,City,Hoyerswerda,Hoyerswerda,False,,,,,,,False,Hoyerswerda,,,,,,
83,c9352c87-5ada-4120-a2e2-3d2707e0d6e8,Person,73,Troy Nelson,"Nelson, Troy",,,,,,,,,,,,,,,,,,False,,,,,,,
94,6313394e-38f1-4a3c-87f8-7f642ad98490,Person,72,Scott Nelson,"Nelson, Scott",male,,,,,,,,,,,,,,,,,False,,,,,,,
98,e714edca-6673-4cde-af91-76a12697b04a,Person,72,DJ Nelson,"Nelson, DJ",male,PR,,,"[{'sort-name': 'NelFlow', 'type': 'Artist name', 'alias': 'NelFlow'}, {'sort-name': 'Papá Nelson', 'type': 'Artist name', 'alias': 'Papá Nelson'}, {'sort-name': 'Nel Flow', 'alias': 'Nel Flow'}, {'sort-name': 'Nelson Daz Martínez', 'alias': 'Nelson Daz Martínez'}, {'sort-name': 'Díaz Martínez, Nelson', 'type': 'Legal name', 'alias': 'Nelson Díaz Martínez'}]","[{'count': '1', 'name': 'latin'}, {'count': '1', 'name': 'latin urban'}, {'count': '1', 'name': 'reggaeton'}]",3906cf32-00a7-32df-93cc-4710c5f5a542,Country,Puerto Rico,Puerto Rico,False,,,,,,1972-04-07,False,"Nelson Díaz Martínez, aka NelFlow",,,,,,
