id,type,ext:score,name,sort-name,gender,disambiguation,ipi-list,area.id,area.type,area.name,area.sort-name,area.life-span.ended,begin-area.id,begin-area.type,begin-area.name,begin-area.sort-name,begin-area.life-span.ended,life-span.begin,life-span.ended,country,isni-list,alias-list,tag-list,life-span.end,end-area.id,end-area.type,end-area.name,end-area.sort-name,end-area.life-span.ended,area.life-span.begin
9dfe357d-5313-40bb-9a86-d76422690160,Person,100,Ced P,Cedrick Ced P Willis,male,"Recording Artist, Producer, Businessman",['00811285950'],4b7d91b6-f976-49cc-83a8-e4bd105bc3d2,City,North Las Vegas,North Las Vegas,false,c4d48bca-3716-4533-8966-a25b8c7b50a5,City,Forrest City,Forrest City,false,1982-11-06,false,,,,,,,,,,,
f4d5cc07-3bc9-4836-9b15-88a08359bc63,Person,61,P!nk,Pink,female,American singer/songwriter,['00342943558'],489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,false,3c9c0781-4365-41d0-a3e9-847e2020a699,City,Doylestown,Doylestown,false,1979-09-08,false,US,['000000012028175X'],"[{'locale': 'en', 'sort-name': 'Pink', 'type': 'Artist name', 'alias': 'Pink'}, {'locale': 'en', 'sort-name': 'Moore, Alecia B.', 'alias': 'Alecia B. Moore'}, {'locale': 'en', 'sort-name': 'Moore, Alecia', 'alias': 'Alecia Moore'}, {'locale': 'en', 'sort-name': 'Moore, Alecia Beth', 'type': 'Legal name', 'alias': 'Alecia Beth Moore'}, {'sort-name': 'P.nk', 'type': 'Search hint', 'alias': 'P.nk'}]","[{'count': '5', 'name': 'pop'}, {'count': '1', 'name': 'electropop'}, {'count': '1', 'name': '2000s'}, {'count': '2', 'name': 'dance-pop'}, {'count': '3', 'name': 'pop rock'}, {'count': '0', 'name': 'pop and chart'}, {'count': '-1', 'name': 'united states'}, {'count': '0', 'name': 'sober'}, {'count': '1', 'name': 'contemporary r&b'}, {'count': '1', 'name': '2010s'}, {'count': '0', 'name': 'music for soccer moms'}]",,,,,,,
b0a16d0c-3d99-487d-be88-902131ad03d3,Person,61,Wesley Willis,"Willis, Wesley",male,,['00338071078'],489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,false,29a709d8-0320-493e-8d0c-f2c386662b7f,City,Chicago,Chicago,false,1963-05-31,true,US,,"[{'sort-name': 'Wesley Willis & the Dragnews', 'type': 'Search hint', 'alias': 'Wesley Willis & the Dragnews'}]",,2003-08-21,,,,,,
100ca519-7a2b-47b1-8e4e-efb56f11a669,Person,60,P. Andrew Willis,"Willis, P. Andrew",male,,,,,,,,,,,,,,false,,,,,,,,,,,
1550f952-c91b-40d7-9b4d-d26a259ee932,Person,59,Lil B,Lil B,male,"US rapper, a.k.a. ""The BasedGod""",,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,false,f9719692-c39a-4d9c-bf8c-dd4035b09534,City,Berkeley,Berkeley,false,1989-08-17,false,US,['0000000377507152'],"[{'sort-name': 'Based God, The', 'alias': 'The Based God'}, {'sort-name': 'McCartney, Brandon Christopher', 'type': 'Legal name', 'alias': 'Brandon Christopher McCartney'}]","[{'count': '1', 'name': 'rap'}, {'count': '3', 'name': 'hip hop'}]",,,,,,,
24f1766e-9635-4d58-a4d4-9413f9f98a4c,Person,59,Johann Sebastian Bach,"Bach, Johann Sebastian",male,German Baroque period composer & musician,['00001749311'],85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,false,8331b712-99b9-41ef-bf58-0f033f8d926a,City,Eisenach,Eisenach,false,1685-03-21,true,DE,['0000000122764157'],"[{'sort-name': 'Johnann Sebastian Bach', 'type': 'Search hint', 'alias': 'Johnann Sebastian Bach'}, {'locale': 'fr', 'sort-name': 'Bach, Jean-Sébastien', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Jean-Sébastien Bach'}, {'locale': 'fr', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'alias': 'Johann Sebastian Bach'}, {'locale': 'en', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Johann Sebastian Bach'}, {'locale': 'ja', 'sort-name': 'バッハ', 'alias': 'バッハ'}, {'locale': 'ko', 'sort-name': '바흐', 'alias': '바흐'}, {'locale': 'cs', 'sort-name': 'Bach, J. S.', 'alias': 'J. S. Bach'}, {'locale': 'uk', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Йоганн Себастьян Бах'}, {'sort-name': 'Bach', 'type': 'Search hint', 'alias': 'Bach'}, {'sort-name': 'Johann S. Bach', 'type': 'Search hint', 'alias': 'Johann S. Bach'}, {'sort-name': 'Johann Sebstian Bach', 'type': 'Search hint', 'alias': 'Johann Sebstian Bach'}, {'sort-name': 'Johann Sebasitan Bach', 'type': 'Search hint', 'alias': 'Johann Sebasitan Bach'}, {'sort-name': 'Себастьян Бах', 'alias': 'Себастьян Бах'}, {'sort-name': 'J.S.Bash', 'type': 'Search hint', 'alias': 'J.S.Bash'}, {'sort-name': 'Bach', 'type': 'Artist name', 'alias': 'Bach'}, {'locale': 'lv', 'sort-name': 'Bahs, J.S.', 'alias': 'J.S. Bahs'}, {'sort-name': 'Johann Savastian Bach', 'type': 'Search hint', 'alias': 'Johann Savastian Bach'}, {'sort-name': 'Jan Sebastian Bach', 'alias': 'Jan Sebastian Bach'}, {'locale': 'ru', 'sort-name': 'Бах, Иоганн Севастьян', 'type': 'Artist name', 'alias': 'Иоганн Севастьян Бах'}, {'sort-name': 'J. S. Bacj', 'type': 'Search hint', 'alias': 'J. S. Bacj'}, {'sort-name': 'J S Bach', 'type': 'Search hint', 'alias': 'J S Bach'}, {'sort-name': 'Johann Sebastuan Bach', 'type': 'Search hint', 'alias': 'Johann Sebastuan Bach'}, {'sort-name': 'J.S Bach', 'type': 'Search hint', 'alias': 'J.S Bach'}, {'sort-name': 'Johann-sebastian Bach', 'type': 'Search hint', 'alias': 'Johann-sebastian Bach'}, {'sort-name': 'J.S.Bach', 'type': 'Search hint', 'alias': 'J.S.Bach'}, {'sort-name': 'J.S. Bach', 'type': 'Search hint', 'alias': 'J.S. Bach'}, {'sort-name': 'JS Bach', 'type': 'Search hint', 'alias': 'JS Bach'}, {'sort-name': 'Johan Sebastian Bach', 'type': 'Search hint', 'alias': 'Johan Sebastian Bach'}, {'sort-name': 'Johann Sebastion Bach', 'type': 'Search hint', 'alias': 'Johann Sebastion Bach'}, {'sort-name': 'Johann Sabastian Bach', 'type': 'Search hint', 'alias': 'Johann Sabastian Bach'}, {'locale': 'ja', 'sort-name': 'バッハ ヨハンゼバスティアン', 'type': 'Artist name', 'alias': 'ヨハン・ゼバスティアン・バッハ'}, {'locale': 'el', 'sort-name': 'Μπαχ, Γιόχαν Σεμπάστιαν', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Γιόχαν Σεμπάστιαν Μπαχ'}, {'locale': 'ru', 'sort-name': 'Бах, Иоганн Себастьян', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Иоганн Себастьян Бах'}, {'locale': 'de', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Johann Sebastian Bach'}, {'sort-name': 'Bach (1685-1750)', 'type': 'Search hint', 'alias': 'Bach (1685-1750)'}, {'locale': 'ar', 'sort-name': 'يوهان سباستيان باخ', 'type': 'Artist name', 'primary': 'primary', 'alias': 'يوهان سباستيان باخ'}, {'locale': 'lv', 'sort-name': 'Bahs, J. S.', 'alias': 'J. S. Bahs'}, {'locale': 'ja', 'sort-name': 'バッハ ヨハンゼバスティアン', 'type': 'Artist name', 'primary': 'primary', 'alias': 'J.S.バッハ'}, {'locale': 'lv', 'sort-name': 'Bahs, J.S.', 'alias': 'J.S.Bahs'}]","[{'count': '14', 'name': 'classical'}, {'count': '4', 'name': 'german'}, {'count': '0', 'name': 'german composer'}, {'count': '1', 'name': 'orchestral'}, {'count': '6', 'name': 'composer'}, {'count': '0', 'name': 'organist'}, {'count': '7', 'name': 'baroque'}, {'count': '0', 'name': 'latin'}, {'count': '2', 'name': 'european'}, {'count': '0', 'name': 'bach'}, {'count': '1', 'name': 'mass'}, {'count': '0', 'name': 'wagner'}, {'count': '0', 'name': 'six'}, {'count': '0', 'name': '134a'}, {'count': '1', 'name': 'motet'}, {'count': '0', 'name': 'mathäuspassion'}, {'count': '0', 'name': 'messe h-moll'}, {'count': '0', 'name': 'vox'}, {'count': '1', 'name': 'cantata'}, {'count': '0', 'name': 'cantata 147'}, {'count': '-1', 'name': 'bach double violin concerto'}, {'count': '1', 'name': 'helmut walcha'}, {'count': '1', 'name': '1036'}]",1750-07-28,20619e36-fca8-4499-bcc8-be01a3ea3e41,City,Leipzig,Leipzig,false,
27c2a256-7a33-4bb2-9603-208853112360,,59,B-P,B-P,,,,,,,,,,,,,,,false,,,,,,,,,,,
a9994c27-fa9a-438d-9897-86107a52ee58,,59,P. B.,P. B.,,,,,,,,,,,,,,,false,,,,,,,,,,,
d787793b-1853-446b-a540-54c9137aee31,Person,59,Scott P. Schreer,"Schreer, Scott P.",male,,['00037000822'],489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,false,,,,,,1953,false,US,,"[{'sort-name': 'Schreer, Scott P', 'alias': 'Scott P Schreer'}, {'sort-name': 'Schreer, Scott', 'alias': 'Scott Schreer'}]",,,,,,,,
94b31fa1-3c50-498a-83c4-9dab8ccf720e,Person,58,Willis,Willis,female,English folk rock,,f03d09b3-39dc-4083-afd6-159e3f0d462f,City,London,London,false,,,,,,,false,,,"[{'sort-name': 'Willis, Hayley', 'type': 'Legal name', 'alias': 'Hayley Willis'}]",,,,,,,,
